"Data e Hora","Chuva (mm) - Último","Chuva (mm) - 1h","Chuva (mm) - 4h","Chuva (mm) - 24h","Chuva (mm) - 96h","Chuva (mm) - 30d","Nível do rio (m) - Último"
"31/10/2024 00:00","0.0","0.0","0.0","4.0","35.2","43.2","1.57"
"30/10/2024 23:45","0.0","0.0","0.0","4.0","35.2","43.2","1.56"
"30/10/2024 23:30","0.0","0.0","0.0","4.4","35.2","43.2","1.56"
"30/10/2024 23:15","0.0","0.0","0.0","4.4","35.2","43.2","1.56"
"30/10/2024 23:00","0.0","0.0","0.0","4.6","35.2","43.2","1.56"
"30/10/2024 22:45","0.0","0.0","0.0","4.8","35.2","43.2","1.56"
"30/10/2024 22:30","0.0","0.0","0.0","5.0","35.2","43.2","1.56"
"30/10/2024 22:15","0.0","0.0","0.0","5.0","35.2","43.2","1.56"
"30/10/2024 22:00","0.0","0.0","0.0","5.2","35.2","43.2","1.55"
"30/10/2024 21:45","0.0","0.0","0.0","5.8","35.2","43.2","1.55"
"30/10/2024 21:30","0.0","0.0","0.0","5.8","35.2","43.2","1.55"
"30/10/2024 21:15","0.0","0.0","0.0","6.0","35.2","43.2","1.54"
"30/10/2024 21:00","0.0","0.0","0.0","6.2","35.2","43.2","1.54"
"30/10/2024 20:45","0.0","0.0","0.0","6.8","35.2","43.2","1.53"
"30/10/2024 20:30","0.0","0.0","0.0","6.8","35.2","43.2","1.53"
"30/10/2024 20:15","0.0","0.0","0.0","7.0","35.2","43.2","1.53"
"30/10/2024 20:00","0.0","0.0","0.0","7.0","35.2","43.2","1.53"
"30/10/2024 19:45","Dado Nulo","0.0","0.0","7.0","35.2","43.2","Dado Nulo"
"30/10/2024 19:30","0.0","0.0","0.0","7.0","35.2","43.2","1.54"
"30/10/2024 19:15","0.0","0.0","0.0","7.0","35.2","43.2","1.56"
"30/10/2024 19:00","0.0","0.0","0.0","7.0","35.2","43.2","1.57"
"30/10/2024 18:45","0.0","0.0","0.0","7.0","35.6","43.2","1.58"
"30/10/2024 18:30","0.0","0.0","0.0","7.0","35.6","43.2","1.59"
"30/10/2024 18:15","0.0","0.0","0.0","7.0","35.6","43.2","1.58"
"30/10/2024 18:00","0.0","0.0","0.0","7.0","35.6","43.2","1.56"
"30/10/2024 17:45","0.0","0.0","0.0","7.0","35.6","43.2","1.53"
"30/10/2024 17:30","0.0","0.0","0.0","7.0","35.6","43.2","1.50"
"30/10/2024 17:15","0.0","0.0","0.0","7.0","35.6","43.2","1.47"
"30/10/2024 17:00","0.0","0.0","0.0","7.0","35.6","43.2","1.45"
"30/10/2024 16:45","0.0","0.0","0.0","7.0","35.6","43.2","1.45"
"30/10/2024 16:30","0.0","0.0","0.0","7.0","35.6","43.2","1.45"
"30/10/2024 16:15","0.0","0.0","0.0","7.0","35.6","43.2","1.47"
"30/10/2024 16:00","Dado Nulo","0.0","0.0","7.0","35.6","43.2","Dado Nulo"
"30/10/2024 15:45","0.0","0.0","0.0","7.2","35.6","43.2","1.50"
"30/10/2024 15:30","0.0","0.0","0.2","7.2","35.6","43.2","1.53"
"30/10/2024 15:15","Dado Nulo","0.0","0.2","7.8","35.6","43.2","Dado Nulo"
"30/10/2024 15:00","Dado Nulo","0.0","0.2","8.8","35.6","43.2","Dado Nulo"
"30/10/2024 14:45","0.0","0.0","0.2","10.0","35.6","43.2","1.58"
"30/10/2024 14:30","Dado Nulo","0.0","0.2","10.2","35.6","43.2","Dado Nulo"
"30/10/2024 14:15","Dado Nulo","0.0","0.4","11.0","35.6","43.2","Dado Nulo"
"30/10/2024 14:00","0.0","0.0","0.4","11.0","35.6","43.2","1.57"
"30/10/2024 13:45","0.0","0.0","0.4","11.4","35.6","43.2","1.56"
"30/10/2024 13:30","0.0","0.0","0.4","11.8","35.6","43.2","1.54"
"30/10/2024 13:15","0.0","0.0","0.4","12.2","35.6","43.2","1.53"
